"","title","sales","console_PS4","console_XBox1","console_Switch","genre_Fighting","genre_Misc","genre_Platform","genre_Racing","genre_RPG","genre_Shooter","genre_Sports","genre_Action_Adventure","player_vector","esrb_vector","metascore","user_score_x10","igdb_member_rating","igdb_critic_rating","ign_x10","mgAverage"
"315","Plants vs. Zombies: Garden Warfare 2",319105,0,1,0,0,0,0,0,0,1,0,0,2,3,80,78,70,85,82,84.4
"316","PlayerUnknown's Battlegrounds",1849297,1,0,0,0,0,0,0,0,1,0,0,2,2,72,34,76,75,95,78
"317","PlayStation VR Worlds",1798050,1,0,0,0,1,0,0,0,0,0,0,2,3,59,67,64.2,60,60,75
"318","Pokemon: Let's Go, Eevee!",2728386,0,0,1,0,0,0,0,1,0,0,0,2,0,80,62,69,80,83,80.1
"319","Pokemon: Let's Go, Pikachu!",4566580,0,0,1,0,0,0,0,1,0,0,0,2,0,79,61,82,77,83,76.75
"320","Pokken Tournament",1206128,0,0,1,1,0,0,0,0,0,0,0,1,1,79,75,73,77,80,77.5714285714286
"321","Prey (2017)",937772,1,0,0,0,0,0,0,0,1,0,0,0,3,79,78,75,77,80,79.2222222222222
"322","Pro Evolution Soccer 2015",177019,1,0,0,0,0,0,0,0,0,1,0,2,0,82,71,78,81,90,80.875
"323","Pro Evolution Soccer 2016",276297,1,0,0,0,0,0,0,0,0,1,0,2,0,87,72,72,84,95,86
"324","Pro Evolution Soccer 2017",304406,1,0,0,0,0,0,0,0,0,1,0,2,0,85,73,78,80,95,79.5714285714286
"325","Pro Evolution Soccer 2018",364038,1,0,0,0,0,0,0,0,0,1,0,1,0,83,72,73,84,92,84.2
"326","Pro Evolution Soccer 2019",244484,1,0,0,0,0,0,0,0,0,1,0,2,0,79,65,64,73,82,79.1
"327","Project CARS",506344,1,0,0,0,0,0,1,0,0,0,0,2,0,83,66,74,82,89,83.2
"328","Project CARS 2",165153,1,0,0,0,0,0,1,0,0,0,0,2,0,82,61,77,84,92,85
"329","Project Octopath Traveler",660392,0,0,1,0,0,0,0,1,0,0,0,0,2,83,86,81,85,93,79.8
"330","Project Setsuna",32561,1,0,0,0,0,0,0,1,0,0,0,2,3,74,74,70,76,75,72.3
"331","Puyo Puyo Tetris",94882,0,0,1,0,1,0,0,0,0,0,0,1,1,81,81,81,84,87,84.2
"332","Quantum Break",383948,0,1,0,0,0,0,0,0,0,0,1,0,3,77,71,74,77,80,71.7777777777778
"333","Rainbow Six: Siege",1895200,1,0,0,0,0,0,0,0,1,0,0,2,3,73,74,76.825,76.825,79,81.3
"334","Rare Replay",411866,0,1,0,0,1,0,0,0,0,0,0,2,3,84,79,87,87,90,84.375
"335","Ratchet & Clank",841190,1,0,0,0,0,1,0,0,0,0,0,0,1,85,86,82,80,90,89.6
"336","Ratchet & Clank (2016)",1929385,1,0,0,0,0,1,0,0,0,0,0,0,1,85,86,82,80,90,89.6
"337","Rayman Legends",56798,0,0,1,0,0,1,0,0,0,0,0,2,3,90.325,90.325,85,92,95,89.3
"338","ReCore",79818,0,1,0,0,0,0,0,0,0,0,1,0,2,63,67,71,59,73,58.1
"339","Red Dead Redemption 2",13940203,1,0,0,0,0,0,0,0,0,0,1,2,3,97,81,93,94,100,93.9
"340","Resident Evil 4 HD",20276,1,0,0,0,0,0,0,0,1,0,0,2,3,91.325,91.325,91,85,98,91.3
"341","Resident Evil Origins Collection",218220,1,0,0,0,0,0,0,0,0,0,1,0,3,81.5,75,88,81.5,81.5,81.5
"342","Resident Evil VII: Biohazard",2866103,1,0,0,0,0,0,0,0,0,0,1,0,3,86,79,86,88,77,87.1
"343","Resident Evil: Revelations",27844,1,0,0,0,0,0,0,0,0,0,1,1,3,70,76,76,75,85,74.6
"344","Resident Evil: Revelations 2",120976,1,0,0,0,0,0,0,0,0,0,1,1,3,75,76,72,73,68,78
"345","Rick & Morty Virtual Rick-Ality",37850,1,0,0,0,1,0,0,0,0,0,0,2,3,71.75,71.75,60,72,76,79
"346","RIGS: Mechanized Combat League",45066,1,0,0,0,0,0,0,0,0,0,1,1,2,78,76,80,78,65,74
"347","Rime",19109,1,0,0,0,0,0,0,0,0,0,1,2,3,80,77,78,73,65,79.7
"348","Rise of the Tomb Raider",1410481,1,0,0,0,0,0,0,0,0,0,1,1,3,88,81,84,91,93,89.3
"349","Robinson: The Journey",58551,1,0,0,0,0,0,0,0,0,0,1,2,0,64,67,61,63,55,61.5
"350","Rock Band 4",125875,0,1,0,0,1,0,0,0,0,0,0,1,2,79,65,56,76,88,71.2857142857143
"351","Rocket League",822396,1,0,0,0,0,0,0,0,0,1,0,2,0,85,85,84,89,80,80
"352","Rory McIlroy PGA Tour",226932,1,0,0,0,0,0,0,0,0,0,1,2,0,61,37,70,63,55,65.8571428571429
"353","Ryse: Son of Rome",247857,0,1,0,0,0,0,0,0,0,0,1,1,3,60,62,71,66,68,58.2222222222222
"354","Saint Seiya: Soldiers' Soul",20922,1,0,0,1,0,0,0,0,0,0,0,1,2,59,73,68,57,63.0444444444444,58.2222222222222
"355","Saints Row IV: Re-Elected",106998,1,0,0,0,0,0,0,0,0,0,1,1,3,75,73,80,77,78,80.4
