"","title","sales","console_PS4","console_XBox1","console_Switch","genre_Fighting","genre_Misc","genre_Platform","genre_Racing","genre_RPG","genre_Shooter","genre_Sports","genre_Action_Adventure","player_vector","esrb_vector","metascore","user_score_x10","igdb_member_rating","igdb_critic_rating","ign_x10","mgAverage"
"77","Devil May Cry HD Collection",43957,1,0,0,0,0,0,0,0,0,0,1,0,3,60,73,90,82,NA,77.5
"78","Diablo III: Eternal Collection",251545,0,0,1,0,0,0,0,0,0,0,1,1,3,88,80,89,86,90,91.6666666666667
"79","Diablo III: Ultimate Evil Edition",417880,1,0,0,0,0,0,0,1,0,0,0,1,3,90,79,79,83,92,90.5
"80","Digimon Story: Cyber Sleuth",43904,1,0,0,0,0,0,0,1,0,0,0,1,2,75,80,79,79,NA,75
"81","Digimon Story: Cyber Sleuth - Hacker's Memory",80478,1,0,0,0,0,0,0,1,0,0,0,2,NA,NA,NA,79,79,NA,73
"82","Digimon World: Next Order",100267,1,0,0,0,0,0,0,1,0,0,0,0,1,68,65,59,71,NA,55
"83","DiRT 4",109769,1,0,0,0,0,0,0,1,0,0,0,2,2,85,75,71,83,92,84.8
"84","DiRT Rally",217745,1,0,0,0,0,0,1,0,0,0,0,2,0,85,79,84,85,89,86.3333333333333
"85","Disgaea 5 Complete",69717,0,0,1,0,0,0,0,1,0,0,0,0,2,81,84,85,90,87,80.5
"86","Dishonored",31041,1,0,0,0,0,0,0,0,0,0,1,2,NA,NA,NA,85,90,92,90.5
"87","Dishonored 2",1597589,1,0,0,0,0,0,0,0,0,0,1,0,3,88,79,86,86,93,82.6
"88","Dishonored: Death of the Outsider",74931,1,0,0,0,0,0,0,0,0,0,1,0,3,82,70,87,82,84,79.7
"89","Disney Infinity 2.0: Marvel Super Heroes",65119,1,0,0,0,0,0,0,0,0,0,1,2,NA,NA,NA,80,NA,68,NA
"90","Disney Infinity 3.0",106342,1,0,0,0,0,0,0,0,0,0,1,2,NA,NA,NA,79,81,89,70
"91","Dissidia Final Fantasy NT",324283,1,0,0,1,0,0,0,0,0,0,0,1,2,67,74,60,63,69,66.375
"92","DmC: Definitive Edition",51794,1,0,0,0,0,0,0,0,0,0,1,2,NA,NA,NA,80,85,89,86.7142857142857
"93","Don't Starve",25534,1,0,0,0,0,0,0,0,0,0,1,2,NA,78,71,77,79,70,82.8
"94","Donkey Kong Country: Tropical Freeze",1219139,0,0,1,0,0,1,0,0,0,0,0,0,0,86,87,82,86,90,86.8888888888889
"95","Doom",871705,1,0,0,0,0,0,0,0,1,0,0,2,3,85,83,85,80,70,74.7
"96","Doom (2016)",2124494,0,0,1,0,0,0,0,0,1,0,0,2,3,85,83,85,80,70,74.7
"97","Dragon's Dogma",39375,1,0,0,0,0,0,0,1,0,0,0,2,NA,NA,NA,71,77,75,74.3
"98","Dragon Age: Inquisition",1323745,1,0,0,0,0,0,0,1,0,0,0,1,3,89,74,85,88,88,85.4
"99","Dragon Ball Fighter Z",1082851,1,0,0,1,0,0,0,0,0,0,0,1,2,85,83,86,87,85,85.1
"100","Dragon Ball FighterZ",132696,0,0,1,1,0,0,0,0,0,0,0,1,2,88,73,86,87,85,85.1
"101","Dragon Ball: Xenoverse",406933,1,0,0,1,0,0,0,0,0,0,0,1,2,69,77,67,74,67,67.5555555555556
"102","Dragon Ball: Xenoverse 2",545136,0,0,1,0,0,0,0,0,0,0,1,1,2,75,79,67,74,75,77.3
"103","Dragon Quest Builders 2",117247,1,0,0,0,0,0,0,0,0,0,1,1,1,86,77,92,85,88,90.2
"104","Dragon Quest Builders: Revive Alefgard",311566,0,0,1,0,0,0,0,1,0,0,0,2,NA,NA,NA,80,82,88,90.2
"105","Dragon Quest Heroes",446634,1,0,0,0,0,0,0,0,0,0,1,2,NA,77,76,76,78,62,74
"106","Dragon Quest Heroes II: Twin Kings and the Prophecy's End",324566,1,0,0,0,0,0,0,0,0,0,1,2,NA,NA,NA,50,82,75,70
"107","Dragon Quest XI",1742241,1,0,0,0,0,0,0,1,0,0,0,0,2,86,87,85,84,88,88
"108","Driveclub",1438682,1,0,0,0,0,0,1,0,0,0,0,2,0,71,63,74,77,79,63.8888888888889
"109","Dying Light",1787635,0,1,0,0,0,0,0,0,0,0,1,1,3,74,78,81,72,85,75.6
"110","Dynasty Warriors 9",221284,1,0,0,0,0,0,0,0,0,0,1,0,2,65,41,50,65,58,44.4
"111","EA Sports UFC",458394,1,0,0,0,0,0,0,0,0,1,0,1,2,70,61,71,69,68,79
"112","EA Sports UFC 2",775063,1,0,0,0,0,0,0,0,0,1,0,1,2,79,57,72,74,64,82.6666666666667
"113","EA Sports UFC 3",527879,1,0,0,0,0,0,0,0,0,1,0,2,2,61,42,40,80,75,75.375
"114","Earth Defense Force 5",108546,1,0,0,0,0,0,0,0,1,0,0,1,3,72,76,81,67,83,73.8
"115","Elex",42623,1,0,0,0,0,0,0,1,0,0,0,0,3,58,64,72,60,49,60.4
"116","Elite: Dangerous",26214,1,0,0,0,1,0,0,0,0,0,0,2,2,77,71,81,82,74,81.5
"117","EVE: Valkyrie",34177,1,0,0,0,0,0,0,0,1,0,0,2,2,71,69,60,77,79,71.7142857142857
"118","Everybody's Golf",207584,1,0,0,0,0,0,0,0,0,1,0,2,0,78,77,NA,79,NA,79
"119","Evolve",510119,1,0,0,0,0,0,0,0,1,0,0,1,3,76,43,63,77,90,81.7
"120","Extinction",17094,1,0,0,0,0,0,0,0,0,0,1,0,3,47,15,50,52,66,60
"121","F1 2015",333895,1,0,0,0,0,0,1,0,0,0,0,2,0,65,64,75,62,48,69
"122","F1 2016 (Codemasters)",248467,1,0,0,0,0,0,1,0,0,0,0,2,0,82,79,78,83,88,84.2857142857143
"123","F1 2017",270679,1,0,0,0,0,0,1,0,0,0,0,2,0,86,76,85,83,89,85.5
"124","F1 2018",267648,1,0,0,0,0,0,1,0,0,0,0,2,0,84,77,80,79,85,85.6
"125","Fallout 4",8300211,1,0,0,0,0,0,0,1,0,0,0,0,3,87,66,81,85,95,82.8
"126","Fallout 76",981080,1,0,0,0,0,0,0,1,0,0,0,2,3,53,28,49,51,50,51.4
"127","Far Cry 4",3342383,1,0,0,0,0,0,0,0,1,0,0,2,3,85,77,76,86,85,80
"128","Far Cry 5",3601442,1,0,0,0,0,0,0,0,0,0,1,2,3,81,68,77,84,89,83.3
"129","Far Cry: Primal",2050386,1,0,0,0,0,0,0,0,0,0,1,0,3,76,65,73,76,79,73.9
"130","Farming Simulator 17",243449,1,0,0,0,1,0,0,0,0,0,0,1,0,69,64,90,64,NA,54.3333333333333
"131","Farming Simulator 19",165389,1,0,0,0,1,0,0,0,0,0,0,1,0,64,48,80,68,NA,69.6
"132","Farming Simulator 2015",105506,1,0,0,0,1,0,0,0,0,0,0,2,NA,NA,NA,71,50,NA,61.4444444444444
"133","Farpoint",134677,1,0,0,0,1,0,0,0,0,0,0,1,3,71,81,70,69,75,72.1428571428571
"134","FIFA 15",5960848,1,0,0,0,0,0,0,0,0,1,0,2,0,82,56,74,81,83,83.6666666666667
"135","FIFA 16",7989386,1,0,0,0,0,0,0,0,0,1,0,2,0,82,44,73,83,78,83.5
"136","FIFA 17",10731517,1,0,0,0,0,0,0,0,0,1,0,2,0,85,49,77,87,84,83.4285714285714
"137","FIFA 18",11612958,1,0,0,0,0,0,0,0,0,1,0,2,0,84,34,73,80,81,80.875
"138","FIFA 19",9147505,1,0,0,0,0,0,0,0,0,1,0,2,0,83,17,76,76,82,60
"139","FIFA Soccer 14",2514994,1,0,0,0,0,0,0,0,0,1,0,2,0,87,63,75,82,90,85.3
"140","Final Fantasy Type-0 HD",493793,1,0,0,0,0,0,0,1,0,0,0,0,3,72,75,75,75,80,78
"141","Final Fantasy X-X2 HD",173679,1,0,0,0,0,0,0,1,0,0,0,2,NA,NA,NA,87,86,93,84.8
"142","Final Fantasy XII: The Zodiac Age",600146,1,0,0,0,0,0,0,1,0,0,0,0,2,86,84,82,88,75,84.7777777777778
"143","Final Fantasy XIV: A Realm Reborn",141154,1,0,0,0,0,0,0,1,0,0,0,2,NA,NA,NA,83,85,86,82
"144","Final Fantasy XIV: Heavensward",48299,1,0,0,0,0,0,0,0,0,0,1,2,NA,86,83,89,87,86,82
"145","Final Fantasy XIV: Stormblood",57083,1,0,0,0,0,0,0,0,0,0,1,2,NA,89,86,90,86,92,88.25
"146","Final Fantasy XV",4835103,1,0,0,0,0,0,0,1,0,0,0,1,2,81,76,79,81,82,72.4444444444444
